,Fund,Study Area Code,Company Name,Carrier,Latitude,Longitude,Deployment Address,Deployment City,Deployment State,Deployment ZIP Code,SAC Primary State,Deployment Date,Filing Year,Census Block,Locations Deployed,Download/Upload Speed Tier,Technology,Other Technology,Latency,Overlapping Locations,FIPSCODE,geometry
0,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.375698,-84.725617,8990 S LILLIAN,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339706003272,1,10 Mbps/1 Mbps,,,,False,77540,POINT (-84.725617 46.375698)
1,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.592912,-85.037149,5966 STATE HWY 123,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001136,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.037149 46.592912)
2,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.768482,-85.002515,30714 W W CEMETARY RD,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001001,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.002515 46.768482)
4,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,46.007051,-83.86352,34980 S DIX POINT RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001027,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.86351999999999 46.007051)
5,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.361198,-84.536272,8348 W 10 MILE RD,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339708001055,1,10 Mbps/1 Mbps,,,,False,77540,POINT (-84.536272 46.361198)
6,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.974388,-83.848212,36678 S WHITNEY BAY RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001154,1,25 Mbps/3 Mbps,,,,False,23080,POINT (-83.848212 45.974388)
7,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.376115,-84.725635,180 FEET NORTH OF 8990 S LILLIAN,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339706003272,1,10 Mbps/1 Mbps,,,,False,77540,POINT (-84.725635 46.376115)
8,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.991703,-83.848549,35524 S WHITNEY BAY RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001123,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.84854900000001 45.991703)
9,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.620653,-85.036557,7922 N TAHQUA TRL,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001134,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.036557 46.620653)
10,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.444484,-84.739592,4178 RANGER RD USFS 3154,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339706003142,1,10 Mbps/1 Mbps,,,,False,06070,POINT (-84.739592 46.444484)
11,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.374842,-84.703325,80 FEET WEST OF 16281 W STATE HWY 28,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339708002008,2,10 Mbps/1 Mbps,,,,False,77540,POINT (-84.70332500000001 46.374842)
12,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.345201,-84.9888,29973 STATE HWY 28,ECKERMAN,MI,49728,MI,12/31/2006,2016,260339707002069,1,10 Mbps/1 Mbps,,,,False,15560,POINT (-84.9888 46.345201)
13,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.968517,-83.871608,37541 S HUMMS RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001114,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.87160799999999 45.968517)
14,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.630781,-85.043571,180 FEET NORTH OF 32633 W SHELLDRAKE RD,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001033,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.043571 46.630781)
15,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.495028,-85.601929,20533 CO RD 415 MCMILLAN AVE,NEWBERRY,MI,49868,MI,10/01/2018,2018,260959602001470,1,10 Mbps/1 Mbps,,,,False,50440,POINT (-85.601929 46.495028)
16,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.976013,-83.841211,36811 S JONES LK RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001128,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.841211 45.976013)
17,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.389579,-84.496614,7732A S FORREST SIDE RD W MILLS RD,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339706002089,1,100 Mbps/25 Mbps,,,,False,77540,POINT (-84.49661399999999 46.389579)
18,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.772444,-84.978718,29682 W W NORTH SHORE RD,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001001,1,4 Mbps/1 Mbps,,,,False,86700,POINT (-84.978718 46.772444)
19,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.663463,-85.031667,10839 N WHITEFISH POINT RD,PARADISE,MI,49768,MI,09/07/2021,2021,260339707001033,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.031667 46.663463)
20,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.483552,-84.684823,160 FEET EAST OF 15290 W LAKESHORE DR,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339706003007,1,10 Mbps/1 Mbps,,,,False,06070,POINT (-84.68482299999999 46.483552)
21,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.691096,-85.032937,12706 N N WHITEFISH POINT RD,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001076,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.032937 46.691096)
22,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.331571,-84.539652,8413 LOCKHART RD W 12 MILE RD,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339708001093,1,10 Mbps/1 Mbps,,,,False,43480,POINT (-84.539652 46.331571)
23,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,46.162208,-85.233776,W7517 CHURCH ST,NAUBINWAY,MI,49762,MI,12/31/2012,2016,260979502002106,1,10 Mbps/1 Mbps,,,,False,37660,POINT (-85.23377600000001 46.162208)
24,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.361043,-85.172834,810 FEET EAST OF 9920 S NORTH HULBERT RD,HULBERT,MI,49748,MI,10/01/2006,2016,260339707002026,1,10 Mbps/1 Mbps,,,,False,39860,POINT (-85.17283399999999 46.361043)
25,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.623728,-85.038166,8125 STATE HWY 123,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001289,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.038166 46.623728)
26,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.377465,-84.651237,13790 STATE HWY 28,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339706003291,1,10 Mbps/1 Mbps,,,,False,77540,POINT (-84.65123699999999 46.377465)
27,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.514904,-85.087648,551 N STATE HWY 123,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001188,1,10 Mbps/1 Mbps,,,,False,86700,POINT (-85.087648 46.514904)
28,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.594328,-85.037091,6056 STATE HWY 123,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001136,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.037091 46.594328)
29,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.663398,-85.614391,28985 CO RD 407 DEER PARK RD,NEWBERRY,MI,49868,MI,03/01/2011,2016,260959602001245,1,10 Mbps/1 Mbps,,,,False,50440,POINT (-85.614391 46.663398)
30,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,46.1583,-85.24137,W7665 W HIAWATHA TRL,NAUBINWAY,MI,49762,MI,12/31/2012,2016,260979502002115,1,10 Mbps/1 Mbps,,,,False,39760,POINT (-85.24137 46.1583)
31,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.583256,-85.037322,5335 STATE HWY 123,PARADISE,MI,49768,MI,10/01/2006,2016,260339707001132,1,100 Mbps/25 Mbps,,,,False,86700,POINT (-85.037322 46.583256)
32,ACAM,310713,"HIAWATHA COMMUNICATIONS, INC.",HIAWATHA TEL CO,46.392519,-84.532691,7686 S OJALA RD,BRIMLEY,MI,49715,MI,10/01/2007,2016,260339706002090,1,10 Mbps/1 Mbps,,,,False,77540,POINT (-84.532691 46.392519)
33,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,46.037173,-85.695531,N4546 S GOULD CITY RD,GOULD CITY,MI,49838,MI,08/31/2020,2020,260979503002157,1,10 Mbps/1 Mbps,,,,False,57640,POINT (-85.695531 46.037173)
34,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.964017,-83.816534,37389 S PIKE ROW,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001131,1,25 Mbps/3 Mbps,,,,False,23080,POINT (-83.816534 45.964017)
35,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.956869,-83.829638,37935 S TOM RICE TRL,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001137,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.829638 45.956869)
36,ACAM,310732,LICT CORPORATION,UPPER PENINSULA TEL,45.969833,-83.871393,37485 S HUMMS RD,DRUMMOND ISLAND,MI,49726,MI,12/31/2015,2016,260339711001117,1,10 Mbps/1 Mbps,,,,False,23080,POINT (-83.871393 45.969833)
